node_id,latitude,longitude
6202695180,36.26751,139.079381
6197922301,36.259031,139.071388
6180549360,36.266244,139.070522
6180549345,36.265274,139.075717
6081343900,36.236977,139.194464
6072870955,36.240353,139.072723
6034053051,36.136078,139.228892
6032160934,36.192177,139.134008
6029586351,36.188311,139.116892
6029586350,36.188349,139.116885
6017443249,36.265423,139.218482
6014442808,36.122426,139.223026
6014442801,36.12533,139.220254
6014442796,36.123305,139.220916
6014442795,36.12259,139.221032
6014442793,36.120956,139.221423
6014442792,36.120951,139.221491
6014441184,36.125947,139.219629
6014416317,36.126739,139.218476
6014416316,36.126683,139.218488
6014394040,36.140238,139.215652
6011600401,36.137718,139.219017
6004215894,36.206753,139.175706
5989487739,36.139024,139.199943
5989487700,36.137821,139.200025
5989487695,36.13776,139.199496
5989481477,36.139268,139.199099
5902059489,36.204101,139.149208
5901851777,36.181602,139.136992
5901798691,36.18548,139.132597
5850817563,36.254857,139.080622
5844094028,36.259107,139.071392
5833664215,36.226081,139.194931
5833664213,36.226202,139.19251
5833664212,36.226161,139.192612
5793655353,36.245725,139.180808
5770698393,36.212564,139.066813
5715145924,36.253397,139.070444
5715145921,36.253848,139.070215
5715145920,36.253225,139.070538
5715132781,36.251542,139.07005
5694085856,36.240257,139.09178
5690650678,36.272934,139.089043
5690650676,36.273244,139.089038
5690645779,36.273596,139.095743
5676764058,36.244287,139.151493
5669918759,36.258475,139.059186
5669499151,36.271897,139.102661
5665414806,36.231427,139.187173
5654978463,36.18712,139.201898
5647359541,36.167478,139.113851
5643571196,36.19552,139.195196
5643571194,36.194968,139.194741
5580064545,36.267904,139.136832
5579878588,36.17444,139.192555
5566564505,36.195435,139.194747
5544235720,36.188215,139.207461
5537026525,36.134429,139.149358
5398187492,36.150136,139.218846
5326983732,36.239067,139.18561
5326983731,36.239273,139.184586
5326983730,36.23936,139.184615
5326881878,36.241535,139.184684
5326881876,36.240711,139.184583
5315958065,36.242658,139.184129
5315958058,36.242242,139.18437
5315958049,36.243527,139.184624
5315957589,36.242491,139.189125
5315957587,36.241691,139.189001
5315957383,36.242685,139.187713
5315957379,36.241811,139.187584
5315957376,36.242736,139.186443
5315957375,36.241932,139.186386
5315957372,36.242009,139.185706
5315957369,36.241284,139.185571
5315956541,36.241473,139.187533
5315956539,36.241334,139.188242
5315860758,36.241078,139.179713
5315860754,36.240763,139.179122
5315860752,36.240795,139.178717
5315860747,36.23988,139.180265
5315860744,36.240777,139.180513
5315860742,36.239259,139.181671
5315860739,36.240071,139.182229
5315860738,36.240408,139.182417
5315860737,36.240638,139.181715
5315860736,36.241148,139.181945
5315860732,36.242867,139.177111
5234254344,36.237864,139.233007
5234210923,36.261504,139.167315
5234053250,36.253194,139.160291
5234053240,36.256113,139.154094
5234036357,36.254445,139.154792
5234036355,36.254029,139.154945
5232247379,36.258463,139.076735
5232247378,36.258447,139.075481
5232230880,36.248473,139.07083
5175982983,36.268816,139.13355
5175847627,36.201238,139.072563
5060593777,36.270567,139.210893
5060593776,36.270677,139.210889
5009220165,36.206693,139.195817
4965538095,36.13443,139.127433
4927041078,36.176349,139.177098
4926139600,36.201174,139.136949
4926139578,36.198851,139.137912
4926137768,36.192158,139.132981
4925950640,36.21776,139.142495
4925950298,36.214334,139.130184
4925753289,36.207315,139.13223
4917766890,36.186164,139.159051
4914342647,36.256083,139.150467
4914088221,36.252042,139.144065
4914088198,36.250495,139.141318
4914025500,36.253238,139.146026
4914025495,36.253876,139.14646
4907871255,36.20286,139.243898
4902925476,36.122051,139.191706
4893676427,36.266563,139.0702
4876866864,36.127156,139.243176
4876866863,36.127257,139.243646
4835332684,36.260699,139.091477
4835332675,36.242666,139.062519
4835332648,36.240915,139.058665
4797897780,36.159962,139.185891
4797777836,36.161244,139.177665
