node_id_org,node_id_dest,distance,signal,highway,max_speed,lanes,width,bridge,tunnel,surface,service,foot,bicycle
5385124085,5385124088,95.133112,0,"residential",,,,,,,,,,
2644109892,2644095019,192.05314,0,"unclassified",,,,,,,,,,
2644095019,2644095029,238.668069,0,"residential",,,,,,,,,,
5384681795,1377319470,68.69460099999999,0,"unclassified",,,,,,,,,,
1377319470,5384681795,68.69460099999999,0,"unclassified",,,,,,,,,,
5384681795,1377319556,64.380629,0,"unclassified",,,,,,,,,,
1377319556,5384681795,64.380629,0,"unclassified",,,,,,,,,,
1381382853,1381382843,112.721697,0,"unclassified",,,,,,,,,,
1381382843,1381382853,112.721697,0,"unclassified",,,,,,,,,,
1381382902,5384943807,87.58143799999999,0,"unclassified",,,,,,,,,,
5384943807,1381382902,87.58143799999999,0,"unclassified",,,,,,,,,,
5384943792,1381382935,64.151089,0,"unclassified",,,,,,,,,,
1381382935,5384943792,64.151089,0,"unclassified",,,,,,,,,,
1381382928,1381382935,18.388125,0,"unclassified",,,,,,,,,,
1381382935,1381382928,18.388125,0,"unclassified",,,,,,,,,,
1381382600,4527507626,45.34611099999999,0,"unclassified",,,,,,,,,,
1381382573,2645912379,102.53270499999999,0,"unclassified",,,,,,,,,,
1381382820,1381382843,148.760813,0,"unclassified",,,,,,,,,,
1381382843,1381382820,148.76081299999998,0,"unclassified",,,,,,,,,,
1381382935,2645279250,73.093228,0,"unclassified",,,,,,,,,,
2337645071,1381382348,72.370733,0,"service",,,,,,,"alley",,,
1381382348,2337645071,72.370733,0,"service",,,,,,,"alley",,,
2645041234,2645041236,61.683298,0,"unclassified",,,,,,,,,,
2645041232,2645041234,79.756416,0,"unclassified",,,,,,,,,,
2645041236,2645041234,61.683298,0,"unclassified",,,,,,,,,,
2645041234,2645041232,79.756416,0,"unclassified",,,,,,,,,,
1389149974,1389149963,163.914855,0,"unclassified",,,,,,,,,,
1381382510,1381382513,29.579483,0,"unclassified",,,,,,,,,,
1381382513,1381382510,29.579483,0,"unclassified",,,,,,,,,,
1381382667,1389149963,139.854139,0,"unclassified",,,,,,,,,,
1381382367,2337701113,111.145579,0,"unclassified",,,,,,,,,,
1381382367,5666810274,86.308738,0,"unclassified",,,,,,,,,,
2337701113,1381382367,111.145579,0,"unclassified",,,,,,,,,,
1389149963,1381382667,139.854139,0,"unclassified",,,,,,,,,,
1381382497,2645041260,30.353970999999998,0,"unclassified",,,,,,,,,,
2645041260,1381382497,30.353970999999998,0,"unclassified",,,,,,,,,,
2645041260,5384944127,17.982757,0,"unclassified",,,,,,,,,,
5384944127,2645041260,17.982757,0,"unclassified",,,,,,,,,,
5384944127,1389149917,82.824898,0,"unclassified",,,,,,,,,,
1389149917,5384944127,82.824898,0,"unclassified",,,,,,,,,,
1381382497,1381382510,66.526717,0,"unclassified",,,,,,,,,,
1381382510,1381382497,66.52671699999999,0,"unclassified",,,,,,,,,,
1381382367,800034031,129.17201799999998,0,"unclassified",,,,,,,,,,
1381382510,1381382679,113.77667,0,"unclassified",,,,,,,,,,
1381382460,1381382445,92.96098199999999,0,"unclassified",,,,,,,,,,
1389149978,1389149974,44.88563,0,"service",,,,,,,"alley",,,
1389149974,1389149978,44.88563,0,"service",,,,,,,"alley",,,
1381382751,1389149978,66.875068,0,"unclassified",,,,,,,,,,
5384682200,800055384,150.322194,0,"secondary",,,,,,,,,,
5384682200,5384944055,92.668691,0,"secondary",,,,,,,,,,
5384682221,1389149931,46.387017,0,"residential",,,,,,,,,,
