node_id_org,node_id_dest,distance,highway,oneway,max_speed,lanes,width,bridge,tunnel,surface,service,foot,bicycle
252053187,4074571837,12.261686,primary,yes,,2,,,,paved,,,
4074571837,252053188,11.899823,primary,yes,,2,,,,paved,,,
252053188,4074571838,11.885239,primary,yes,,2,,,,paved,,,
4074571838,2396871144,22.405739,primary,yes,,2,,,,paved,,,
2396871144,2036411526,8.084007,primary,yes,,2,,,,paved,,,
2036411526,2396871134,5.258133,primary,yes,,2,,,,paved,,,
2396871134,720554657,45.350781,primary,yes,,2,,,,paved,,,
720554657,2396871129,10.388791,primary,yes,,2,,,,paved,,,
2396871129,252053189,96.583765,primary,yes,,2,,,,paved,,,
252053189,2396871141,95.928974,primary,yes,,2,,,,paved,,,
2396871141,1211896573,6.026307,primary,yes,,2,,,,paved,,,
1211896573,2396871119,70.695178,primary,yes,,2,,,,paved,,,
2396871119,671602421,5.613703,primary,yes,,2,,,,paved,,,
671602421,252053191,53.180500,primary,yes,,2,,,,paved,,,
252053191,252053192,94.258855,primary,yes,,2,,,,paved,,,
252053192,581887872,47.620521,primary,yes,,2,,,,paved,,,
581887872,252053193,68.938593,primary,yes,,2,,,,paved,,,
252053193,1684772119,28.619476,primary,yes,,2,,,,paved,,,
1684772119,2036495237,54.648090,primary,yes,,2,,,,paved,,,
2036495237,2396871147,9.006503,primary,yes,,2,,,,paved,,,
2396871147,2396873413,81.918067,primary,yes,,2,,,,paved,,,
2396873413,393131800,10.248272,primary,yes,,2,,,,paved,,,
393131800,2396873406,13.954301,primary,yes,,2,,,,paved,,,
2396873406,252053195,70.022667,primary,yes,,2,,,,paved,,,
252053195,252053196,88.463495,primary,yes,,2,,,,paved,,,
252053196,2036495306,17.711183,primary,yes,,2,,,,paved,,,
2036495306,1211903010,7.412279,primary,yes,,2,,,,paved,,,
1211903010,1212052667,61.443965,primary,yes,,2,,,,paved,,,
1212052667,2396873409,7.807869,primary,yes,,2,,,,paved,,,
2396873409,252053197,16.055324,primary,yes,,2,,,,paved,,,
252053197,2012583674,32.370850,primary,yes,,2,,,,paved,,,
2012583674,1312601475,30.976520,primary,yes,,2,,,,paved,,,
1312601475,252053198,65.013271,primary,yes,,2,,,,paved,,,
252053198,2012583703,131.654909,primary,yes,,2,,,,paved,,,
2038480941,2038480940,32.207716,tertiary,,,,,,,,,,
2038480940,2039169357,44.643785,tertiary,,,,,,,,,,
2039169357,2038480938,59.708442,tertiary,,,,,,,,,,
2038480938,660127384,55.248295,tertiary,,,,,,,,,,
660127384,1135821052,9.243152,tertiary,,,,,,,,,,
1135821052,1135820936,34.191364,tertiary,,,,,,,,,,
1135820936,2038377421,43.460753,tertiary,,,,,,,,,,
2038377421,832285648,73.413156,tertiary,,,,,,,,,,
832285648,1127244125,4.763890,tertiary,,,,,,,,,,
1127244125,4624609848,56.663039,tertiary,,,,,,,,,,
4624609848,1135821031,24.372289,tertiary,,,,,,,,,,
1135821031,1135821102,28.553376,tertiary,,,,,,,,,,
1135821102,1135820969,45.654509,tertiary,,,,,,,,,,
1135820969,1192570433,19.086555,tertiary,,,,,,,,,,
1192570433,1135820985,24.925873,tertiary,,,,,,,,,,
1135820985,2038377415,62.371086,tertiary,,,,,,,,,,
2038377415,1135821055,42.280428,tertiary,,,,,,,,,,
1135821055,832285650,6.406963,tertiary,,,,,,,,,,
832285650,2087227684,35.940545,tertiary,,,,,,,,,,
2087227684,832285656,37.911449,tertiary,,,,,,,,,,
832285675,1097906843,32.246273,unclassified,yes,,,,,,,,,
1097906843,1192598946,9.354963,unclassified,yes,,,,,,,,,
1192598946,1192599010,27.527583,unclassified,yes,,,,,,,,,
1192599010,1097906782,15.455956,unclassified,yes,,,,,,,,,
1097906782,1097906603,23.265561,unclassified,yes,,,,,,,,,
1097906603,1097906593,91.487013,unclassified,yes,,,,,,,,,
1097906593,1097906856,28.422031,unclassified,yes,,,,,,,,,
1097906856,1192542564,23.587405,unclassified,yes,,,,,,,,,
1192542564,1097906586,24.765234,unclassified,yes,,,,,,,,,
1097906586,1192599014,34.578707,unclassified,yes,,,,,,,,,
1192599014,1094547424,62.420562,unclassified,yes,,,,,,,,,
1094547424,1160435125,8.520000,unclassified,yes,,,,,,,,,
1093685773,2393573029,5.356908,tertiary,,,2,,,,,,,
2393573029,832285988,7.743299,tertiary,,,2,,,,,,,
832285988,832286017,42.400748,tertiary,,,2,,,,,,,
832286004,2621323853,6.030724,unclassified,,,,,,,,,,
2621323853,1094262796,64.880558,unclassified,,,,,,,,,,
1094262796,832285985,40.904872,unclassified,,,,,,,,,,
832286024,832286022,16.345638,unclassified,,,,,,,,,,
832286022,832286013,45.052126,unclassified,,,,,,,,,,
1141096960,832285994,8.397734,unclassified,,,,,,,paved,,,
832285994,2393573026,5.858826,unclassified,,,,,,,paved,,,
2393573026,3809762385,2.465753,unclassified,,,,,,,paved,,,
3809762385,1097906948,24.881552,unclassified,,,,,,,paved,,,
1097906948,1097906792,56.696701,unclassified,,,,,,,paved,,,
1097906792,1097906563,53.147674,unclassified,,,,,,,paved,,,
1097906563,1097906708,47.451162,unclassified,,,,,,,paved,,,
1097906708,1097906671,25.097053,unclassified,,,,,,,paved,,,
1097906671,1097906642,46.743067,unclassified,,,,,,,paved,,,
1097906642,1097906717,27.011969,unclassified,,,,,,,paved,,,
1097906717,1097906906,24.634310,unclassified,,,,,,,paved,,,
1097906906,1097906620,20.762804,unclassified,,,,,,,paved,,,
1097906620,1097906702,5.778276,unclassified,,,,,,,paved,,,
1097906702,1097906753,3.380840,unclassified,,,,,,,paved,,,
1097906753,1097906881,48.118101,unclassified,,,,,,,paved,,,
1097906881,1097906561,8.041333,unclassified,,,,,,,paved,,,
1097906561,1192530086,37.930005,unclassified,,,,,,,paved,,,
1192530086,1192530035,39.874538,unclassified,,,,,,,paved,,,
1192530035,832285675,3.700541,unclassified,,,,,,,paved,,,
297164912,1093469813,41.105368,primary,yes,,2,,,,paved,,,
1093469813,1922031299,37.469492,primary,yes,,2,,,,paved,,,
1922031299,1093469937,9.387220,primary,yes,,2,,,,paved,,,
1093469937,1093469938,56.596440,primary,yes,,2,,,,paved,,,
1093469938,1093469898,21.977914,primary,yes,,2,,,,paved,,,
1093469898,1093469783,42.357767,primary,yes,,2,,,,paved,,,
1093469783,1093469877,8.694330,primary,yes,,2,,,,paved,,,
1093469877,1093469794,27.869960,primary,yes,,2,,,,paved,,,
1093469794,1093469940,29.244788,primary,yes,,2,,,,paved,,,
1093469940,1093469925,28.933353,primary,yes,,2,,,,paved,,,
1093469925,1093469808,31.834883,primary,yes,,2,,,,paved,,,
1093469808,1093469910,26.807644,primary,yes,,2,,,,paved,,,
1093469910,2038476055,16.287712,primary,yes,,2,,,,paved,,,
2038476055,1093469887,30.737148,primary,yes,,2,,,,paved,,,
1093469887,1093469907,58.957571,primary,yes,,2,,,,paved,,,
1093469907,1093469790,37.749599,primary,yes,,2,,,,paved,,,
1093469790,1922031413,21.732748,primary,yes,,2,,,,paved,,,
1922031413,1093469810,28.620238,primary,yes,,2,,,,paved,,,
1093469810,1093469888,45.079667,primary,yes,,2,,,,paved,,,
1093469888,3817861008,25.371459,primary,yes,,2,,,,paved,,,
3817861008,1180771705,27.108773,primary,yes,,2,,,,paved,,,
1180771705,1093469822,71.967378,primary,yes,,2,,,,paved,,,
1093469822,2349135890,92.917806,primary,yes,,2,,,,paved,,,
2349135890,1093469785,10.147231,primary,yes,,2,,,,paved,,,
1093469785,1093469789,48.323003,primary,yes,,2,,,,paved,,,
1093469789,1093469943,33.440880,primary,yes,,2,,,,paved,,,
1093469943,2350168090,24.124084,primary,yes,,2,,,,paved,,,
2350168090,2036494970,24.875589,primary,yes,,2,,,,paved,,,
2036494970,1093469812,44.172698,primary,yes,,2,,,,paved,,,
1093469812,1093469864,33.704565,primary,yes,,2,,,,paved,,,
1093469864,4844563799,5.559304,primary,yes,,2,,,,paved,,,
253716303,2396871154,6.471118,unclassified,yes,,,,,,paved,,,
2396871154,1093626549,14.913489,unclassified,yes,,,,,,paved,,,
1093626549,1177424527,70.758999,unclassified,yes,,,,,,paved,,,
1177424527,1093626362,11.480825,unclassified,yes,,,,,,paved,,,
1093626646,2848912128,29.182699,unclassified,,,,,,,,,,
2848912128,1093626477,24.186504,unclassified,,,,,,,,,,
1093626477,1096527203,48.215049,unclassified,,,,,,,,,,
1096527203,1093626272,2.389707,unclassified,,,,,,,,,,
1093626272,1096526968,45.275536,unclassified,,,,,,,,,,
1096526968,1093626768,48.225487,unclassified,,,,,,,,,,
1093626768,1096527198,5.363980,unclassified,,,,,,,,,,
1096527198,1096526696,5.193970,unclassified,,,,,,,,,,
1096526696,1093626121,66.722225,unclassified,,,,,,,,,,
1093626121,1093626771,69.274131,unclassified,,,,,,,,,,
1093626771,1097993396,104.521556,unclassified,,,,,,,,,,
